父母平均身高,孩子年龄,性别,实际年龄,预测年龄
175,1,0,47.8125,66.89583333
172,8,0,101,111.7083333
154,17,0,150.5,153.5625
175,10,0,118.125,125.9583333
187,14,1,164.875,165.625
178,1,1,53,68.9375
151,9,0,96.8125,98.0625
178,13,1,149,149.9583333
164,15,1,151.875,147.0416667
187,9,1,122.0625,115.7916667
186,4,0,74,77.41666667
178,12,0,136,149.4583333
153,4,0,65.75,67.5
184,10,0,123.75,129.625
153,1,0,46.4375,54.1875
159,12,1,126.75,120.6666667
157,15,1,145.3125,151.5625
159,15,0,142.1875,151.5625
184,1,1,53.375,74.22916667
153,12,1,122.25,117.6041667
